valor_original,valor_normalizado,raw_norm,stripped,codigo_dane_sugerido,nombre_dane_sugerido,departamento_sugerido,metodo_nuevo,confianza_nueva,estado_revision,motivo,top_1_codigo,top_1_nombre,top_1_departamento,top_1_score_nuevo,top_2_codigo,top_2_nombre,top_2_departamento,top_2_score_nuevo,top_3_codigo,top_3_nombre,top_3_departamento,top_3_score_nuevo,raw_norm_2,departamento_detectado,texto_sin_departamento,core_filtrado_2,estado_final_2,codigo_dane_final_2,nombre_dane_final_2,departamento_final_2,metodo_final_2,confianza_final_2,motivo_final_2,final_top_1_codigo,final_top_1_nombre,final_top_1_departamento,final_top_1_score,final_top_1_alias,final_top_2_codigo,final_top_2_nombre,final_top_2_departamento,final_top_2_score,final_top_2_alias,final_top_3_codigo,final_top_3_nombre,final_top_3_departamento,final_top_3_score,final_top_3_alias
JUZGADO CIVIL DEL CIRCUITO DE CHINCHINÁ CALDAS,JUZGADO CIVIL DEL CIRCUITO DE CHINCHINA CALDAS,JUZGADO CIVIL DEL CIRCUITO DE CHINCHINA CALDAS,JUZGADO CIVIL DEL CIRCUITO DE CHINCHINA,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,70742,SAN LUIS DE SINCÉ,SUCRE,42.86,68689,SAN VICENTE DE CHUCURÍ,SANTANDER,42.62,25843,VILLA DE SAN DIEGO DE UBATÉ,CUNDINAMARCA,42.42,JUZGADO CIVIL DEL CIRCUITO DE CHINCHINA CALDAS,CALDAS,JUZGADO CIVIL DEL CIRCUITO DE CHINCHINA,JUZGADO CIVIL CIRCUITO CHINCHINA,IGNORAR,,,,,,contiene términos institucionales/judiciales/administrativos; no debe mapearse a municipio,17174,CHINCHINÁ,CALDAS,51.9,CHINCHINA,54871,VILLA CARO,NORTE DE SANTANDER,42.86,VILLA CARO,13655,SAN JACINTO DEL CAUCA,BOLÍVAR,40.82,SAN JACINTO CAUCA
JUZGADO CIVIL DEL CIRCUITO DE LA MESA CUNDINAMARCA,JUZGADO CIVIL DEL CIRCUITO DE LA MESA CUNDINAMARCA,JUZGADO CIVIL DEL CIRCUITO DE LA MESA CUNDINAMARCA,JUZGADO CIVIL DEL CIRCUITO DE LA MESA,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,25843,VILLA DE SAN DIEGO DE UBATÉ,CUNDINAMARCA,50.88,25645,SAN ANTONIO DEL TEQUENDAMA,CUNDINAMARCA,45.27,54874,VILLA DEL ROSARIO,NORTE DE SANTANDER,44.44,JUZGADO CIVIL DEL CIRCUITO DE LA MESA CUNDINAMARCA,CUNDINAMARCA,JUZGADO CIVIL DEL CIRCUITO DE LA MESA,JUZGADO CIVIL CIRCUITO MESA,IGNORAR,,,,,,contiene términos institucionales/judiciales/administrativos; no debe mapearse a municipio,25386,LA MESA,CUNDINAMARCA,49.18,LA MESA,44650,SAN JUAN DEL CESAR,LA GUAJIRA,48.89,SAN JUAN DEL CESAR,54001,SAN JOSÉ DE CÚCUTA,NORTE DE SANTANDER,48.89,SAN JOSE DE CUCUTA
JUZGADO CIVIL MUNICIPAL DE FUNZA CUNDINAMARCA,JUZGADO CIVIL MUNICIPAL DE FUNZA CUNDINAMARCA,JUZGADO CIVIL MUNICIPAL DE FUNZA CUNDINAMARCA,JUZGADO CIVIL MUNICIPAL DE FUNZA,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,25328,GUAYABAL DE SÍQUIMA,CUNDINAMARCA,43.22,76111,GUADALAJARA DE BUGA,VALLE DEL CAUCA,43.14,25295,GACHANCIPÁ,CUNDINAMARCA,42.1,JUZGADO CIVIL MUNICIPAL DE FUNZA CUNDINAMARCA,CUNDINAMARCA,JUZGADO CIVIL MUNICIPAL DE FUNZA,JUZGADO CIVIL FUNZA,IGNORAR,,,,,,contiene términos institucionales/judiciales/administrativos; no debe mapearse a municipio,25286,FUNZA,CUNDINAMARCA,49.67,FUNZA,25290,FUSAGASUGÁ,CUNDINAMARCA,49.38,FUSAGASUGA,25871,VILLAGÓMEZ,CUNDINAMARCA,49.38,VILLAGOMEZ
JUZGADO CIVIL MUNICIPAL DE UBATÉ CUNDINAMARCA,JUZGADO CIVIL MUNICIPAL DE UBATE CUNDINAMARCA,JUZGADO CIVIL MUNICIPAL DE UBATE CUNDINAMARCA,JUZGADO CIVIL MUNICIPAL DE UBATE,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,25843,VILLA DE SAN DIEGO DE UBATÉ,CUNDINAMARCA,54.85,5873,VIGÍA DEL FUERTE,ANTIOQUIA,45.83,5659,SAN JUAN DE URABÁ,ANTIOQUIA,44.9,JUZGADO CIVIL MUNICIPAL DE UBATE CUNDINAMARCA,CUNDINAMARCA,JUZGADO CIVIL MUNICIPAL DE UBATE,JUZGADO CIVIL UBATE,IGNORAR,,,,,,contiene términos institucionales/judiciales/administrativos; no debe mapearse a municipio,25843,VILLA DE SAN DIEGO DE UBATÉ,CUNDINAMARCA,53.0,VILLA SAN DIEGO UBATE,25245,EL COLEGIO,CUNDINAMARCA,49.38,EL COLEGIO,25871,VILLAGÓMEZ,CUNDINAMARCA,49.38,VILLAGOMEZ
JUZGADO CUARTO CIVIL MUNICIPAL DE DUITAMA BOYACÁ,JUZGADO CUARTO CIVIL MUNICIPAL DE DUITAMA BOYACA,JUZGADO CUARTO CIVIL MUNICIPAL DE DUITAMA BOYACA,JUZGADO CUARTO CIVIL MUNICIPAL DE DUITAMA,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,25645,SAN ANTONIO DEL TEQUENDAMA,CUNDINAMARCA,44.78,13001,CARTAGENA DE INDIAS,BOLÍVAR,43.33,25328,GUAYABAL DE SÍQUIMA,CUNDINAMARCA,43.33,JUZGADO CUARTO CIVIL MUNICIPAL DE DUITAMA BOYACA,BOYACA,JUZGADO CUARTO CIVIL MUNICIPAL DE DUITAMA,JUZGADO CUARTO CIVIL DUITAMA,IGNORAR,,,,,,contiene términos institucionales/judiciales/administrativos; no debe mapearse a municipio,52224,CUASPUD CARLOSAMA,NARIÑO,48.89,CUASPUD CARLOSAMA,15238,DUITAMA,BOYACÁ,48.0,DUITAMA,50680,SAN CARLOS DE GUAROA,META,45.83,SAN CARLOS DE GUAROA
JUZGADO LABORAL CIRCUITO FUNZA CUNDINAMARCA,JUZGADO LABORAL CIRCUITO FUNZA CUNDINAMARCA,JUZGADO LABORAL CIRCUITO FUNZA CUNDINAMARCA,JUZGADO LABORAL CIRCUITO FUNZA,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,25328,GUAYABAL DE SÍQUIMA,CUNDINAMARCA,48.9,8137,CAMPO DE LA CRUZ,ATLÁNTICO,43.48,25658,SAN FRANCISCO,CUNDINAMARCA,41.21,JUZGADO LABORAL CIRCUITO FUNZA CUNDINAMARCA,CUNDINAMARCA,JUZGADO LABORAL CIRCUITO FUNZA,JUZGADO LABORAL CIRCUITO FUNZA,IGNORAR,,,,,,contiene términos institucionales/judiciales/administrativos; no debe mapearse a municipio,05148,EL CARMEN DE VIBORAL,ANTIOQUIA,48.0,EL CARMEN DE VIBORAL,25843,VILLA DE SAN DIEGO DE UBATÉ,CUNDINAMARCA,47.22,VILLA SAN DIEGO UBATE,23189,CIÉNAGA DE ORO,CÓRDOBA,45.45,CIENAGA DE ORO
JUZGADO LABORAL DEL CIRCUITO DE CARTAGO VALLE,JUZGADO LABORAL DEL CIRCUITO DE CARTAGO VALLE,JUZGADO LABORAL DEL CIRCUITO DE CARTAGO VALLE,JUZGADO LABORAL DEL CIRCUITO DE CARTAGO VALLE,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,52694,SAN PEDRO DE CARTAGO,NARIÑO,46.15,25328,GUAYABAL DE SÍQUIMA,CUNDINAMARCA,43.75,25843,VILLA DE SAN DIEGO DE UBATÉ,CUNDINAMARCA,41.67,JUZGADO LABORAL DEL CIRCUITO DE CARTAGO VALLE,VALLE DEL CAUCA,JUZGADO LABORAL DEL CIRCUITO DE CARTAGO,JUZGADO LABORAL CIRCUITO CARTAGO,IGNORAR,,,,,,contiene términos institucionales/judiciales/administrativos; no debe mapearse a municipio,08137,CAMPO DE LA CRUZ,ATLÁNTICO,50.0,CAMPO DE LA CRUZ,18150,CARTAGENA DEL CHAIRÁ,CAQUETÁ,50.0,CARTAGENA DEL CHAIRA,52694,SAN PEDRO DE CARTAGO,NARIÑO,50.0,SAN PEDRO DE CARTAGO
JUZGADO PRIMERO CIVIL MUNICIPAL DE FUNZA CUNDINAMARCA,JUZGADO PRIMERO CIVIL MUNICIPAL DE FUNZA CUNDINAMARCA,JUZGADO PRIMERO CIVIL MUNICIPAL DE FUNZA CUNDINAMARCA,JUZGADO PRIMERO CIVIL MUNICIPAL DE FUNZA,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,25154,CARMEN DE CARUPA,CUNDINAMARCA,43.29,5665,SAN PEDRO DE URABÁ,ANTIOQUIA,41.38,27810,UNIÓN PANAMERICANA,CHOCÓ,41.38,JUZGADO PRIMERO CIVIL MUNICIPAL DE FUNZA CUNDINAMARCA,CUNDINAMARCA,JUZGADO PRIMERO CIVIL MUNICIPAL DE FUNZA,JUZGADO PRIMERO CIVIL FUNZA,IGNORAR,,,,,,contiene términos institucionales/judiciales/administrativos; no debe mapearse a municipio,25871,VILLAGÓMEZ,CUNDINAMARCA,51.24,VILLAGOMEZ,23189,CIÉNAGA DE ORO,CÓRDOBA,48.78,CIENAGA DE ORO,25662,SAN JUAN DE RIOSECO,CUNDINAMARCA,47.13,SAN JUAN DE RIOSECO
JUZGADO PRIMERO CIVIL MUNICIPAL DE PUERTO ASÍS PUTUMAYO,JUZGADO PRIMERO CIVIL MUNICIPAL DE PUERTO ASIS PUTUMAYO,JUZGADO PRIMERO CIVIL MUNICIPAL DE PUERTO ASIS PUTUMAYO,JUZGADO PRIMERO CIVIL MUNICIPAL DE PUERTO ASIS,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,86568,PUERTO ASÍS,PUTUMAYO,42.6,5665,SAN PEDRO DE URABÁ,ANTIOQUIA,40.62,52694,SAN PEDRO DE CARTAGO,NARIÑO,39.39,JUZGADO PRIMERO CIVIL MUNICIPAL DE PUERTO ASIS PUTUMAYO,PUTUMAYO,JUZGADO PRIMERO CIVIL MUNICIPAL DE PUERTO ASIS,JUZGADO PRIMERO CIVIL PUERTO ASIS,IGNORAR,,,,,,contiene términos institucionales/judiciales/administrativos; no debe mapearse a municipio,86573,PUERTO LEGUÍZAMO,PUTUMAYO,61.06,PUERTO LEGUIZAMO,86569,PUERTO CAICEDO,PUTUMAYO,59.06,PUERTO CAICEDO,86568,PUERTO ASÍS,PUTUMAYO,58.0,PUERTO ASIS
JUZGADO PRIMERO PROMISCUO MUNICIPAL DE ACACIAS META,JUZGADO PRIMERO PROMISCUO MUNICIPAL DE ACACIAS META,JUZGADO PRIMERO PROMISCUO MUNICIPAL DE ACACIAS META,JUZGADO PRIMERO PROMISCUO MUNICIPAL DE ACACIAS,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,73148,CARMEN DE APICALÁ,TOLIMA,41.27,66682,SANTA ROSA DE CABAL,RISARALDA,40.0,50110,BARRANCA DE UPÍA,META,39.48,JUZGADO PRIMERO PROMISCUO MUNICIPAL DE ACACIAS META,META,JUZGADO PRIMERO PROMISCUO MUNICIPAL DE ACACIAS,JUZGADO PRIMERO PROMISCUO ACACIAS,IGNORAR,,,,,,contiene términos institucionales/judiciales/administrativos; no debe mapearse a municipio,50590,PUERTO RICO,META,48.91,PUERTO RICO,50110,BARRANCA DE UPÍA,META,48.82,BARRANCA DE UPIA,52694,SAN PEDRO DE CARTAGO,NARIÑO,48.0,SAN PEDRO CARTAGO
JUZGADO PRIMERO PROMISCUO MUNICIPAL DE COROZAL SUCRE,JUZGADO PRIMERO PROMISCUO MUNICIPAL DE COROZAL SUCRE,JUZGADO PRIMERO PROMISCUO MUNICIPAL DE COROZAL SUCRE,JUZGADO PRIMERO PROMISCUO MUNICIPAL DE COROZAL,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,66682,SANTA ROSA DE CABAL,RISARALDA,40.0,5148,EL CARMEN DE VIBORAL,ANTIOQUIA,39.39,25154,CARMEN DE CARUPA,CUNDINAMARCA,38.71,JUZGADO PRIMERO PROMISCUO MUNICIPAL DE COROZAL SUCRE,SUCRE,JUZGADO PRIMERO PROMISCUO MUNICIPAL DE COROZAL,JUZGADO PRIMERO PROMISCUO COROZAL,IGNORAR,,,,,,contiene términos institucionales/judiciales/administrativos; no debe mapearse a municipio,52694,SAN PEDRO DE CARTAGO,NARIÑO,48.0,SAN PEDRO CARTAGO,85125,HATO COROZAL,CASANARE,44.44,HATO COROZAL,25662,SAN JUAN DE RIOSECO,CUNDINAMARCA,42.31,SAN JUAN DE RIOSECO
JUZGADO PRIMERO PROMISCUO MUNICIPAL DE FONSECA LA GUAJIRA,JUZGADO PRIMERO PROMISCUO MUNICIPAL DE FONSECA LA GUAJIRA,JUZGADO PRIMERO PROMISCUO MUNICIPAL DE FONSECA LA GUAJIRA,JUZGADO PRIMERO PROMISCUO MUNICIPAL DE FONSECA,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,15676,SAN MIGUEL DE SEMA,BOYACÁ,40.62,5686,SANTA ROSA DE OSOS,ANTIOQUIA,37.5,27810,UNIÓN PANAMERICANA,CHOCÓ,37.5,JUZGADO PRIMERO PROMISCUO MUNICIPAL DE FONSECA LA GUAJIRA,LA GUAJIRA,JUZGADO PRIMERO PROMISCUO MUNICIPAL DE FONSECA,JUZGADO PRIMERO PROMISCUO FONSECA,IGNORAR,,,,,,contiene términos institucionales/judiciales/administrativos; no debe mapearse a municipio,25662,SAN JUAN DE RIOSECO,CUNDINAMARCA,46.15,SAN JUAN DE RIOSECO,52520,FRANCISCO PIZARRO,NARIÑO,44.0,FRANCISCO PIZARRO,52694,SAN PEDRO DE CARTAGO,NARIÑO,44.0,SAN PEDRO CARTAGO
JUZGADO PRIMERO PROMISCUO MUNICIPAL DE TURBACO BOLÍVAR,JUZGADO PRIMERO PROMISCUO MUNICIPAL DE TURBACO BOLIVAR,JUZGADO PRIMERO PROMISCUO MUNICIPAL DE TURBACO BOLIVAR,JUZGADO PRIMERO PROMISCUO MUNICIPAL DE TURBACO,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,5665,SAN PEDRO DE URABÁ,ANTIOQUIA,43.75,52835,SAN ANDRÉS DE TUMACO,NARIÑO,42.42,15693,SANTA ROSA DE VITERBO,BOYACÁ,41.79,JUZGADO PRIMERO PROMISCUO MUNICIPAL DE TURBACO BOLIVAR,BOLIVAR,JUZGADO PRIMERO PROMISCUO MUNICIPAL DE TURBACO,JUZGADO PRIMERO PROMISCUO TURBACO,IGNORAR,,,,,,contiene términos institucionales/judiciales/administrativos; no debe mapearse a municipio,13657,SAN JUAN NEPOMUCENO,BOLÍVAR,54.15,SAN JUAN NEPOMUCENO,05665,SAN PEDRO DE URABÁ,ANTIOQUIA,50.98,SAN PEDRO DE URABA,13468,SANTA CRUZ DE MOMPOX,BOLÍVAR,49.51,SANTA CRUZ DE MOMPOX
JUZGADO PRIMERO PROMISCUO MUNICIPAL ZARZAL VALLE,JUZGADO PRIMERO PROMISCUO MUNICIPAL ZARZAL VALLE,JUZGADO PRIMERO PROMISCUO MUNICIPAL ZARZAL VALLE,JUZGADO PRIMERO PROMISCUO MUNICIPAL ZARZAL VALLE,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,73148,CARMEN DE APICALÁ,TOLIMA,33.85,27810,UNIÓN PANAMERICANA,CHOCÓ,33.33,52694,SAN PEDRO DE CARTAGO,NARIÑO,32.35,JUZGADO PRIMERO PROMISCUO MUNICIPAL ZARZAL VALLE,VALLE DEL CAUCA,JUZGADO PRIMERO PROMISCUO MUNICIPAL ZARZAL,JUZGADO PRIMERO PROMISCUO ZARZAL,IGNORAR,,,,,,contiene términos institucionales/judiciales/administrativos; no debe mapearse a municipio,25662,SAN JUAN DE RIOSECO,CUNDINAMARCA,50.0,SAN JUAN RIOSECO,13657,SAN JUAN NEPOMUCENO,BOLÍVAR,47.06,SAN JUAN NEPOMUCENO,05665,SAN PEDRO DE URABÁ,ANTIOQUIA,44.0,SAN PEDRO DE URABA
JUZGADO PROMISCUO MUNICIPAL BELALCÁZAR CALDAS,JUZGADO PROMISCUO MUNICIPAL BELALCAZAR CALDAS,JUZGADO PROMISCUO MUNICIPAL BELALCAZAR CALDAS,JUZGADO PROMISCUO MUNICIPAL BELALCAZAR,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,17088,BELALCÁZAR,CALDAS,45.67,44420,LA JAGUA DEL PILAR,LA GUAJIRA,35.71,5440,MARINILLA,ANTIOQUIA,34.04,JUZGADO PROMISCUO MUNICIPAL BELALCAZAR CALDAS,CALDAS,JUZGADO PROMISCUO MUNICIPAL BELALCAZAR,JUZGADO PROMISCUO BELALCAZAR,IGNORAR,,,,,,contiene términos institucionales/judiciales/administrativos; no debe mapearse a municipio,17088,BELALCÁZAR,CALDAS,60.63,BELALCAZAR,25662,SAN JUAN DE RIOSECO,CUNDINAMARCA,46.81,SAN JUAN DE RIOSECO,27430,MEDIO BAUDÓ,CHOCÓ,46.15,MEDIO BAUDO
JUZGADO PROMISCUO MUNICIPAL CHOACHÍ CUNDINAMARCA,JUZGADO PROMISCUO MUNICIPAL CHOACHI CUNDINAMARCA,JUZGADO PROMISCUO MUNICIPAL CHOACHI CUNDINAMARCA,JUZGADO PROMISCUO MUNICIPAL CHOACHI,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,25295,GACHANCIPÁ,CUNDINAMARCA,39.56,25181,CHOACHÍ,CUNDINAMARCA,37.33,52565,PROVIDENCIA,NARIÑO,34.78,JUZGADO PROMISCUO MUNICIPAL CHOACHI CUNDINAMARCA,CUNDINAMARCA,JUZGADO PROMISCUO MUNICIPAL CHOACHI,JUZGADO PROMISCUO CHOACHI,IGNORAR,,,,,,contiene términos institucionales/judiciales/administrativos; no debe mapearse a municipio,25662,SAN JUAN DE RIOSECO,CUNDINAMARCA,53.45,SAN JUAN DE RIOSECO,25181,CHOACHÍ,CUNDINAMARCA,51.75,CHOACHI,05172,CHIGORODÓ,ANTIOQUIA,47.06,CHIGORODO
JUZGADO PROMISCUO MUNICIPAL CONCORDIA MAGDALENA,JUZGADO PROMISCUO MUNICIPAL CONCORDIA MAGDALENA,JUZGADO PROMISCUO MUNICIPAL CONCORDIA MAGDALENA,JUZGADO PROMISCUO MUNICIPAL CONCORDIA,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,50450,PUERTO CONCORDIA,META,45.28,47205,CONCORDIA,MAGDALENA,43.13,5209,CONCORDIA,ANTIOQUIA,39.13,JUZGADO PROMISCUO MUNICIPAL CONCORDIA MAGDALENA,MAGDALENA,JUZGADO PROMISCUO MUNICIPAL CONCORDIA,JUZGADO PROMISCUO CONCORDIA,IGNORAR,,,,,,contiene términos institucionales/judiciales/administrativos; no debe mapearse a municipio,50450,PUERTO CONCORDIA,META,60.47,PUERTO CONCORDIA,47205,CONCORDIA,MAGDALENA,58.0,CONCORDIA,23574,PUERTO ESCONDIDO,CÓRDOBA,51.16,PUERTO ESCONDIDO
JUZGADO PROMISCUO MUNICIPAL COYAIMA TOLIMA,JUZGADO PROMISCUO MUNICIPAL COYAIMA TOLIMA,JUZGADO PROMISCUO MUNICIPAL COYAIMA TOLIMA,JUZGADO PROMISCUO MUNICIPAL COYAIMA,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,73148,CARMEN DE APICALÁ,TOLIMA,38.62,73217,COYAIMA,TOLIMA,37.33,8372,JUAN DE ACOSTA,ATLÁNTICO,36.73,JUZGADO PROMISCUO MUNICIPAL COYAIMA TOLIMA,TOLIMA,JUZGADO PROMISCUO MUNICIPAL COYAIMA,JUZGADO PROMISCUO COYAIMA,IGNORAR,,,,,,contiene términos institucionales/judiciales/administrativos; no debe mapearse a municipio,73217,COYAIMA,TOLIMA,51.75,COYAIMA,52224,CUASPUD CARLOSAMA,NARIÑO,47.62,CUASPUD CARLOSAMA,52694,SAN PEDRO DE CARTAGO,NARIÑO,47.62,SAN PEDRO CARTAGO
JUZGADO PROMISCUO MUNICIPAL DE AMBALEMA TOLIMA,JUZGADO PROMISCUO MUNICIPAL DE AMBALEMA TOLIMA,JUZGADO PROMISCUO MUNICIPAL DE AMBALEMA TOLIMA,JUZGADO PROMISCUO MUNICIPAL DE AMBALEMA,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,66682,SANTA ROSA DE CABAL,RISARALDA,48.28,73148,CARMEN DE APICALÁ,TOLIMA,46.86,15676,SAN MIGUEL DE SEMA,BOYACÁ,45.61,JUZGADO PROMISCUO MUNICIPAL DE AMBALEMA TOLIMA,TOLIMA,JUZGADO PROMISCUO MUNICIPAL DE AMBALEMA,JUZGADO PROMISCUO AMBALEMA,IGNORAR,,,,,,contiene términos institucionales/judiciales/administrativos; no debe mapearse a municipio,73030,AMBALEMA,TOLIMA,55.06,AMBALEMA,50683,SAN JUAN DE ARAMA,META,50.0,SAN JUAN ARAMA,25662,SAN JUAN DE RIOSECO,CUNDINAMARCA,48.89,SAN JUAN DE RIOSECO
JUZGADO PROMISCUO MUNICIPAL DE ANAPOIMA CUNDINAMARCA,JUZGADO PROMISCUO MUNICIPAL DE ANAPOIMA CUNDINAMARCA,JUZGADO PROMISCUO MUNICIPAL DE ANAPOIMA CUNDINAMARCA,JUZGADO PROMISCUO MUNICIPAL DE ANAPOIMA,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,23586,PURÍSIMA DE LA CONCEPCIÓN,CÓRDOBA,43.75,50683,SAN JUAN DE ARAMA,META,42.86,15676,SAN MIGUEL DE SEMA,BOYACÁ,42.11,JUZGADO PROMISCUO MUNICIPAL DE ANAPOIMA CUNDINAMARCA,CUNDINAMARCA,JUZGADO PROMISCUO MUNICIPAL DE ANAPOIMA,JUZGADO PROMISCUO ANAPOIMA,IGNORAR,,,,,,contiene términos institucionales/judiciales/administrativos; no debe mapearse a municipio,25035,ANAPOIMA,CUNDINAMARCA,55.06,ANAPOIMA,25662,SAN JUAN DE RIOSECO,CUNDINAMARCA,52.44,SAN JUAN DE RIOSECO,50683,SAN JUAN DE ARAMA,META,50.0,SAN JUAN ARAMA
JUZGADO PROMISCUO MUNICIPAL DE ANSERMANUEVO VALLE,JUZGADO PROMISCUO MUNICIPAL DE ANSERMANUEVO VALLE,JUZGADO PROMISCUO MUNICIPAL DE ANSERMANUEVO VALLE,JUZGADO PROMISCUO MUNICIPAL DE ANSERMANUEVO VALLE,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,15676,SAN MIGUEL DE SEMA,BOYACÁ,41.79,76041,ANSERMANUEVO,VALLE DEL CAUCA,39.34,15332,GÜICÁN DE LA SIERRA,BOYACÁ,38.24,JUZGADO PROMISCUO MUNICIPAL DE ANSERMANUEVO VALLE,VALLE DEL CAUCA,JUZGADO PROMISCUO MUNICIPAL DE ANSERMANUEVO,JUZGADO PROMISCUO ANSERMANUEVO,IGNORAR,,,,,,contiene términos institucionales/judiciales/administrativos; no debe mapearse a municipio,76041,ANSERMANUEVO,VALLE DEL CAUCA,65.14,ANSERMANUEVO,50683,SAN JUAN DE ARAMA,META,46.81,SAN JUAN DE ARAMA,25662,SAN JUAN DE RIOSECO,CUNDINAMARCA,44.9,SAN JUAN DE RIOSECO
JUZGADO PROMISCUO MUNICIPAL DE ARJONA BOLÍVAR,JUZGADO PROMISCUO MUNICIPAL DE ARJONA BOLIVAR,JUZGADO PROMISCUO MUNICIPAL DE ARJONA BOLIVAR,JUZGADO PROMISCUO MUNICIPAL DE ARJONA,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,13688,SANTA ROSA DEL SUR,BOLÍVAR,44.0,8372,JUAN DE ACOSTA,ATLÁNTICO,43.14,66682,SANTA ROSA DE CABAL,RISARALDA,42.86,JUZGADO PROMISCUO MUNICIPAL DE ARJONA BOLIVAR,BOLIVAR,JUZGADO PROMISCUO MUNICIPAL DE ARJONA,JUZGADO PROMISCUO ARJONA,IGNORAR,,,,,,contiene términos institucionales/judiciales/administrativos; no debe mapearse a municipio,13030,ALTOS DEL ROSARIO,BOLÍVAR,51.9,ALTOS DEL ROSARIO,13442,MARÍA LA BAJA,BOLÍVAR,51.24,MARIA LA BAJA,13688,SANTA ROSA DEL SUR,BOLÍVAR,50.11,SANTA ROSA SUR
JUZGADO PROMISCUO MUNICIPAL DE CALAMAR BOLIVAR,JUZGADO PROMISCUO MUNICIPAL DE CALAMAR BOLIVAR,JUZGADO PROMISCUO MUNICIPAL DE CALAMAR BOLIVAR,JUZGADO PROMISCUO MUNICIPAL DE CALAMAR,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,66682,SANTA ROSA DE CABAL,RISARALDA,45.61,73148,CARMEN DE APICALÁ,TOLIMA,43.64,50683,SAN JUAN DE ARAMA,META,43.64,JUZGADO PROMISCUO MUNICIPAL DE CALAMAR BOLIVAR,BOLIVAR,JUZGADO PROMISCUO MUNICIPAL DE CALAMAR,JUZGADO PROMISCUO CALAMAR,IGNORAR,,,,,,contiene términos institucionales/judiciales/administrativos; no debe mapearse a municipio,52224,CUASPUD CARLOSAMA,NARIÑO,52.38,CUASPUD CARLOSAMA,50683,SAN JUAN DE ARAMA,META,51.28,SAN JUAN ARAMA,13030,ALTOS DEL ROSARIO,BOLÍVAR,50.86,ALTOS DEL ROSARIO
JUZGADO PROMISCUO MUNICIPAL DE CAREPA ANTIOQUIA,JUZGADO PROMISCUO MUNICIPAL DE CAREPA ANTIOQUIA,JUZGADO PROMISCUO MUNICIPAL DE CAREPA ANTIOQUIA,JUZGADO PROMISCUO MUNICIPAL DE CAREPA,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,25154,CARMEN DE CARUPA,CUNDINAMARCA,49.06,66682,SANTA ROSA DE CABAL,RISARALDA,46.43,52694,SAN PEDRO DE CARTAGO,NARIÑO,45.61,JUZGADO PROMISCUO MUNICIPAL DE CAREPA ANTIOQUIA,ANTIOQUIA,JUZGADO PROMISCUO MUNICIPAL DE CAREPA,JUZGADO PROMISCUO CAREPA,IGNORAR,,,,,,contiene términos institucionales/judiciales/administrativos; no debe mapearse a municipio,52694,SAN PEDRO DE CARTAGO,NARIÑO,53.66,SAN PEDRO CARTAGO,05150,CAROLINA,ANTIOQUIA,51.9,CAROLINA PRINCIPE,25662,SAN JUAN DE RIOSECO,CUNDINAMARCA,51.16,SAN JUAN DE RIOSECO
JUZGADO PROMISCUO MUNICIPAL DE COVEÑAS SUCRE,JUZGADO PROMISCUO MUNICIPAL DE COVENAS SUCRE,JUZGADO PROMISCUO MUNICIPAL DE COVENAS SUCRE,JUZGADO PROMISCUO MUNICIPAL DE COVENAS,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,23586,PURÍSIMA DE LA CONCEPCIÓN,CÓRDOBA,44.44,15676,SAN MIGUEL DE SEMA,BOYACÁ,42.86,5686,SANTA ROSA DE OSOS,ANTIOQUIA,42.86,JUZGADO PROMISCUO MUNICIPAL DE COVENAS SUCRE,SUCRE,JUZGADO PROMISCUO MUNICIPAL DE COVENAS,JUZGADO PROMISCUO COVENAS,IGNORAR,,,,,,contiene términos institucionales/judiciales/administrativos; no debe mapearse a municipio,70221,COVEÑAS,SUCRE,51.75,COVENAS,23189,CIÉNAGA DE ORO,CÓRDOBA,51.28,CIENAGA DE ORO,25662,SAN JUAN DE RIOSECO,CUNDINAMARCA,50.0,SAN JUAN DE RIOSECO
